n:57 mse_avg:190.63 mse_y:280.87 mse_u:5.49 mse_v:14.85 psnr_avg:25.33 psnr_y:23.65 psnr_u:40.74 psnr_v:36.41 
n:58 mse_avg:134.66 mse_y:197.36 mse_u:5.48 mse_v:13.05 psnr_avg:26.84 psnr_y:25.18 psnr_u:40.74 psnr_v:36.97 
n:59 mse_avg:130.57 mse_y:191.14 mse_u:5.74 mse_v:13.14 psnr_avg:26.97 psnr_y:25.32 psnr_u:40.54 psnr_v:36.95 
n:60 mse_avg:140.49 mse_y:205.99 mse_u:6.00 mse_v:12.99 psnr_avg:26.65 psnr_y:24.99 psnr_u:40.35 psnr_v:36.99 
n:61 mse_avg:186.59 mse_y:274.81 mse_u:5.83 mse_v:14.46 psnr_avg:25.42 psnr_y:23.74 psnr_u:40.47 psnr_v:36.53 
n:62 mse_avg:193.67 mse_y:285.28 mse_u:6.04 mse_v:14.84 psnr_avg:25.26 psnr_y:23.58 psnr_u:40.32 psnr_v:36.42 
n:63 mse_avg:148.67 mse_y:219.14 mse_u:5.05 mse_v:10.40 psnr_avg:26.41 psnr_y:24.72 psnr_u:41.10 psnr_v:37.96 
n:64 mse_avg:162.54 mse_y:239.92 mse_u:4.73 mse_v:10.82 psnr_avg:26.02 psnr_y:24.33 psnr_u:41.38 psnr_v:37.79 
n:65 mse_avg:219.61 mse_y:324.45 mse_u:6.13 mse_v:13.74 psnr_avg:24.71 psnr_y:23.02 psnr_u:40.26 psnr_v:36.75 
n:66 mse_avg:241.16 mse_y:356.05 mse_u:6.91 mse_v:15.87 psnr_avg:24.31 psnr_y:22.62 psnr_u:39.74 psnr_v:36.12 
n:67 mse_avg:239.31 mse_y:353.35 mse_u:6.89 mse_v:15.57 psnr_avg:24.34 psnr_y:22.65 psnr_u:39.75 psnr_v:36.21 
n:68 mse_avg:238.46 mse_y:352.09 mse_u:7.14 mse_v:15.25 psnr_avg:24.36 psnr_y:22.66 psnr_u:39.59 psnr_v:36.30 
n:69 mse_avg:230.52 mse_y:339.98 mse_u:7.71 mse_v:15.52 psnr_avg:24.50 psnr_y:22.82 psnr_u:39.26 psnr_v:36.22 
n:70 mse_avg:242.70 mse_y:357.86 mse_u:7.96 mse_v:16.79 psnr_avg:24.28 psnr_y:22.59 psnr_u:39.12 psnr_v:35.88 
n:71 mse_avg:246.28 mse_y:363.07 mse_u:8.40 mse_v:17.02 psnr_avg:24.22 psnr_y:22.53 psnr_u:38.89 psnr_v:35.82 
n:72 mse_avg:232.09 mse_y:341.81 mse_u:8.54 mse_v:16.77 psnr_avg:24.47 psnr_y:22.79 psnr_u:38.82 psnr_v:35.89 
n:73 mse_avg:227.89 mse_y:336.07 mse_u:7.74 mse_v:15.32 psnr_avg:24.55 psnr_y:22.87 psnr_u:39.24 psnr_v:36.28 
n:74 mse_avg:249.78 mse_y:368.65 mse_u:7.93 mse_v:16.17 psnr_avg:24.16 psnr_y:22.46 psnr_u:39.14 psnr_v:36.04 
n:75 mse_avg:290.51 mse_y:428.76 mse_u:9.01 mse_v:18.98 psnr_avg:23.50 psnr_y:21.81 psnr_u:38.58 psnr_v:35.35 
n:76 mse_avg:320.24 mse_y:472.41 mse_u:10.16 mse_v:21.64 psnr_avg:23.08 psnr_y:21.39 psnr_u:38.06 psnr_v:34.78 
n:77 mse_avg:332.97 mse_y:491.52 mse_u:10.30 mse_v:21.41 psnr_avg:22.91 psnr_y:21.22 psnr_u:38.00 psnr_v:34.83 
n:78 mse_avg:333.73 mse_y:492.59 mse_u:10.12 mse_v:21.87 psnr_avg:22.90 psnr_y:21.21 psnr_u:38.08 psnr_v:34.73 
n:79 mse_avg:315.79 mse_y:466.29 mse_u:9.50 mse_v:20.06 psnr_avg:23.14 psnr_y:21.44 psnr_u:38.35 psnr_v:35.11 
n:80 mse_avg:304.22 mse_y:449.59 mse_u:8.99 mse_v:17.98 psnr_avg:23.30 psnr_y:21.60 psnr_u:38.59 psnr_v:35.58 
n:81 mse_avg:293.12 mse_y:433.06 mse_u:8.85 mse_v:17.60 psnr_avg:23.46 psnr_y:21.77 psnr_u:38.66 psnr_v:35.68 
